PACIFIC Exchange Rate Service
2450742 1997/10/20 Mon 0.61350
2450743 1997/10/21 Tue 0.61210
2450744 1997/10/22 Wed 0.61196
2450745 1997/10/23 Thu 0.61261
2450746 1997/10/24 Fri 0.61166
2450749 1997/10/27 Mon 0.60403
2450750 1997/10/28 Tue 0.59698
2450751 1997/10/29 Wed 0.59743
2450752 1997/10/30 Thu 0.60047
2450753 1997/10/31 Fri 0.59608
2450756 1997/11/03 Mon 0.59639
2450757 1997/11/04 Tue 0.59401
2450758 1997/11/05 Wed 0.59605
2450759 1997/11/06 Thu 0.59063
2450760 1997/11/07 Fri 0.59147
2450763 1997/11/10 Mon 0.59049
2450765 1997/11/12 Wed 0.58685
2450766 1997/11/13 Thu 0.58777
2450767 1997/11/14 Fri 0.59057
2450770 1997/11/17 Mon 0.59033
2450771 1997/11/18 Tue 0.58943
2450772 1997/11/19 Wed 0.59116
2450773 1997/11/20 Thu 0.59057
2450774 1997/11/21 Fri 0.59172
2450777 1997/11/24 Mon 0.59189
2450778 1997/11/25 Tue 0.59479
2450779 1997/11/26 Wed 0.59728
2450780 1997/11/27 Thu 0.59806
2450781 1997/11/28 Fri 0.59205
2450784 1997/12/01 Mon 0.59436
2450785 1997/12/02 Tue 0.59437
2450786 1997/12/03 Wed 0.59365
2450787 1997/12/04 Thu 0.59812
2450788 1997/12/05 Fri 0.60332
2450791 1997/12/08 Mon 0.60698
2450792 1997/12/09 Tue 0.60492
2450793 1997/12/10 Wed 0.60608
2450794 1997/12/11 Thu 0.60384
2450795 1997/12/12 Fri 0.60604
2450798 1997/12/15 Mon 0.61188
2450799 1997/12/16 Tue 0.61249
2450800 1997/12/17 Wed 0.60570
2450801 1997/12/18 Thu 0.60142
2450802 1997/12/19 Fri 0.59919
2450805 1997/12/22 Mon 0.60157
2450806 1997/12/23 Tue 0.60000
2450807 1997/12/24 Wed 0.59895
2450812 1997/12/29 Mon 0.59855
2450813 1997/12/30 Tue 0.60440
2450814 1997/12/31 Wed 0.60885
2450816 1998/01/02 Fri 0.60906
2450819 1998/01/05 Mon 0.61241
2450820 1998/01/06 Tue 0.61256
2450821 1998/01/07 Wed 0.61503
2450822 1998/01/08 Thu 0.62027
2450823 1998/01/09 Fri 0.61874
2450826 1998/01/12 Mon 0.61619
2450827 1998/01/13 Tue 0.61255
2450828 1998/01/14 Wed 0.61338
2450829 1998/01/15 Thu 0.61311
2450830 1998/01/16 Fri 0.61200
2450833 1998/01/19 Mon 0.61084
2450834 1998/01/20 Tue 0.61452
2450835 1998/01/21 Wed 0.61488
2450836 1998/01/22 Thu 0.60622
2450837 1998/01/23 Fri 0.59897
2450840 1998/01/26 Mon 0.60421
2450841 1998/01/27 Tue 0.60713
2450842 1998/01/28 Wed 0.60868
2450843 1998/01/29 Thu 0.60927
2450844 1998/01/30 Fri 0.61256
2450847 1998/02/02 Mon 0.61031
2450848 1998/02/03 Tue 0.60913
2450849 1998/02/04 Wed 0.61031
2450850 1998/02/05 Thu 0.60441
2450851 1998/02/06 Fri 0.60756
2450854 1998/02/09 Mon 0.61174
2450855 1998/02/10 Tue 0.61600
2450856 1998/02/11 Wed 0.61255
2450857 1998/02/12 Thu 0.61025
2450858 1998/02/13 Fri 0.61165
2450861 1998/02/16 Mon 0.61038
2450862 1998/02/17 Tue 0.61293
2450863 1998/02/18 Wed 0.60975
2450864 1998/02/19 Thu 0.61136
2450865 1998/02/20 Fri 0.61080
2450868 1998/02/23 Mon 0.60701
2450869 1998/02/24 Tue 0.60733
2450870 1998/02/25 Wed 0.60714
2450871 1998/02/26 Thu 0.60837
2450872 1998/02/27 Fri 0.60698
2450875 1998/03/02 Mon 0.60690
2450876 1998/03/03 Tue 0.60522
2450877 1998/03/04 Wed 0.60690
2450878 1998/03/05 Thu 0.60784
2450879 1998/03/06 Fri 0.61187
2450882 1998/03/09 Mon 0.61114
2450883 1998/03/10 Tue 0.61038
2450884 1998/03/11 Wed 0.60712
2450885 1998/03/12 Thu 0.60361
2450886 1998/03/13 Fri 0.60005
2450889 1998/03/16 Mon 0.59936
2450890 1998/03/17 Tue 0.59719
2450891 1998/03/18 Wed 0.59866
2450892 1998/03/19 Thu 0.59944
2450893 1998/03/20 Fri 0.59988
2450896 1998/03/23 Mon 0.59562
2450897 1998/03/24 Tue 0.59682
2450898 1998/03/25 Wed 0.59721
2450899 1998/03/26 Thu 0.59302
2450900 1998/03/27 Fri 0.59352
2450903 1998/03/30 Mon 0.59577
2450904 1998/03/31 Tue 0.59736
2450905 1998/04/01 Wed 0.59784
2450906 1998/04/02 Thu 0.59961
2450907 1998/04/03 Fri 0.60307
2450910 1998/04/06 Mon 0.60086
2450911 1998/04/07 Tue 0.60014
2450912 1998/04/08 Wed 0.59933
2450913 1998/04/09 Thu 0.59776
2450917 1998/04/13 Mon 0.60006
2450918 1998/04/14 Tue 0.59351
2450919 1998/04/15 Wed 0.59374
2450920 1998/04/16 Thu 0.59123
2450921 1998/04/17 Fri 0.59357
2450924 1998/04/20 Mon 0.59665
2450925 1998/04/21 Tue 0.59649
2450926 1998/04/22 Wed 0.59722
2450927 1998/04/23 Thu 0.60021
2450928 1998/04/24 Fri 0.59970
2450931 1998/04/27 Mon 0.59774
2450932 1998/04/28 Tue 0.59984
2450933 1998/04/29 Wed 0.59871
2450934 1998/04/30 Thu 0.59784
2450935 1998/05/01 Fri 0.59954
2450938 1998/05/04 Mon 0.60005
2450939 1998/05/05 Tue 0.60217
2450940 1998/05/06 Wed 0.60180
2450941 1998/05/07 Thu 0.60646
2450942 1998/05/08 Fri 0.61063
2450945 1998/05/11 Mon 0.61351
2450946 1998/05/12 Tue 0.61158
2450947 1998/05/13 Wed 0.61315
2450948 1998/05/14 Thu 0.61316
2450949 1998/05/15 Fri 0.61459
2450953 1998/05/19 Tue 0.61558
2450954 1998/05/20 Wed 0.61219
2450955 1998/05/21 Thu 0.61293
2450956 1998/05/22 Fri 0.61254
2450959 1998/05/25 Mon 0.61444
2450960 1998/05/26 Tue 0.61092
2450961 1998/05/27 Wed 0.61256
2450962 1998/05/28 Thu 0.61436
2450963 1998/05/29 Fri 0.61203
2450966 1998/06/01 Mon 0.60995
2450967 1998/06/02 Tue 0.61023
2450968 1998/06/03 Wed 0.61028
2450969 1998/06/04 Thu 0.61001
2450970 1998/06/05 Fri 0.61136
2450973 1998/06/08 Mon 0.61248
2450974 1998/06/09 Tue 0.61154
2450975 1998/06/10 Wed 0.61436
2450976 1998/06/11 Thu 0.61351
2450977 1998/06/12 Fri 0.61324
2450980 1998/06/15 Mon 0.61286
2450981 1998/06/16 Tue 0.60529
2450982 1998/06/17 Wed 0.60179
2450983 1998/06/18 Thu 0.59897
2450984 1998/06/19 Fri 0.59736
2450987 1998/06/22 Mon 0.59799
2450988 1998/06/23 Tue 0.60092
2450989 1998/06/24 Wed 0.59932
2450990 1998/06/25 Thu 0.59830
2450991 1998/06/26 Fri 0.60212
2450994 1998/06/29 Mon 0.60086
2450995 1998/06/30 Tue 0.59891
2450997 1998/07/02 Thu 0.60388
2450998 1998/07/03 Fri 0.60695
2451001 1998/07/06 Mon 0.60808
2451002 1998/07/07 Tue 0.61053
2451003 1998/07/08 Wed 0.61098
2451004 1998/07/09 Thu 0.61301
2451005 1998/07/10 Fri 0.61253
2451008 1998/07/13 Mon 0.60911
2451009 1998/07/14 Tue 0.61068
2451010 1998/07/15 Wed 0.61211
2451011 1998/07/16 Thu 0.61047
2451012 1998/07/17 Fri 0.60846
2451015 1998/07/20 Mon 0.60692
2451016 1998/07/21 Tue 0.60868
2451017 1998/07/22 Wed 0.60889
2451018 1998/07/23 Thu 0.60686
2451019 1998/07/24 Fri 0.60225
2451022 1998/07/27 Mon 0.60351
2451023 1998/07/28 Tue 0.60645
2451024 1998/07/29 Wed 0.60855
2451025 1998/07/30 Thu 0.60919
2451026 1998/07/31 Fri 0.61218
2451030 1998/08/04 Tue 0.61260
2451031 1998/08/05 Wed 0.61162
2451032 1998/08/06 Thu 0.61206
2451033 1998/08/07 Fri 0.61369
2451036 1998/08/10 Mon 0.61239
2451037 1998/08/11 Tue 0.61355
2451038 1998/08/12 Wed 0.61360
2451039 1998/08/13 Thu 0.61475
2451040 1998/08/14 Fri 0.61779
2451043 1998/08/17 Mon 0.61850
2451044 1998/08/18 Tue 0.61855
2451045 1998/08/19 Wed 0.61612
2451046 1998/08/20 Thu 0.61435
2451047 1998/08/21 Fri 0.61076
2451050 1998/08/24 Mon 0.60961
2451051 1998/08/25 Tue 0.60981
2451052 1998/08/26 Wed 0.61062
2451053 1998/08/27 Thu 0.60569
2451054 1998/08/28 Fri 0.59833
2451057 1998/08/31 Mon 0.59654
2451058 1998/09/01 Tue 0.59712
2451059 1998/09/02 Wed 0.59898
2451060 1998/09/03 Thu 0.59641
2451061 1998/09/04 Fri 0.59792
2451065 1998/09/08 Tue 0.60288
2451066 1998/09/09 Wed 0.60223
2451067 1998/09/10 Thu 0.59470
2451068 1998/09/11 Fri 0.59365
2451071 1998/09/14 Mon 0.59625
2451072 1998/09/15 Tue 0.59744
2451073 1998/09/16 Wed 0.59652
2451074 1998/09/17 Thu 0.59399
2451075 1998/09/18 Fri 0.59351
2451078 1998/09/21 Mon 0.59366
2451079 1998/09/22 Tue 0.59358
2451080 1998/09/23 Wed 0.59520
2451081 1998/09/24 Thu 0.59036
2451082 1998/09/25 Fri 0.58744
2451085 1998/09/28 Mon 0.58675
2451086 1998/09/29 Tue 0.58583
2451087 1998/09/30 Wed 0.58820
2451088 1998/10/01 Thu 0.58662
2451089 1998/10/02 Fri 0.58682
2451092 1998/10/05 Mon 0.59184
2451093 1998/10/06 Tue 0.59418
2451094 1998/10/07 Wed 0.58934
2451095 1998/10/08 Thu 0.58079
2451096 1998/10/09 Fri 0.58633
2451100 1998/10/13 Tue 0.58759
2451101 1998/10/14 Wed 0.58633
2451102 1998/10/15 Thu 0.58716
2451103 1998/10/16 Fri 0.58691
2451106 1998/10/19 Mon 0.58829
2451107 1998/10/20 Tue 0.58609
2451108 1998/10/21 Wed 0.58772
2451109 1998/10/22 Thu 0.58973
2451113 1998/10/26 Mon 0.59363
2451114 1998/10/27 Tue 0.59756
2451115 1998/10/28 Wed 0.59827
2451116 1998/10/29 Thu 0.59671
2451117 1998/10/30 Fri 0.59747
2451120 1998/11/02 Mon 0.60036
2451121 1998/11/03 Tue 0.60282
2451122 1998/11/04 Wed 0.60303
2451123 1998/11/05 Thu 0.60128
2451124 1998/11/06 Fri 0.60303
2451127 1998/11/09 Mon 0.60296
2451128 1998/11/10 Tue 0.60299
2451130 1998/11/12 Thu 0.60313
2451131 1998/11/13 Fri 0.60121
2451134 1998/11/16 Mon 0.59599
2451135 1998/11/17 Tue 0.59631
2451136 1998/11/18 Wed 0.59820
2451138 1998/11/20 Fri 0.60405
2451141 1998/11/23 Mon 0.60463
2451142 1998/11/24 Tue 0.60288
2451143 1998/11/25 Wed 0.60262
2451144 1998/11/26 Thu 0.60257
2451145 1998/11/27 Fri 0.60569
2451148 1998/11/30 Mon 0.60688
2451149 1998/12/01 Tue 0.60457
2451150 1998/12/02 Wed 0.60166
2451151 1998/12/03 Thu 0.60071
2451152 1998/12/04 Fri 0.60117
2451155 1998/12/07 Mon 0.60505
2451156 1998/12/08 Tue 0.60437
2451157 1998/12/09 Wed 0.60299
2451158 1998/12/10 Thu 0.59953
2451159 1998/12/11 Fri 0.59470
2451162 1998/12/14 Mon 0.59210
2451163 1998/12/15 Tue 0.59350
2451164 1998/12/16 Wed 0.59670
2451165 1998/12/17 Thu 0.59677
2451166 1998/12/18 Fri 0.59507
2451169 1998/12/21 Mon 0.59505
2451170 1998/12/22 Tue 0.59611
2451171 1998/12/23 Wed 0.59641
2451172 1998/12/24 Thu 0.59795
2451177 1998/12/29 Tue 0.59411
2451178 1998/12/30 Wed 0.60010
2451179 1998/12/31 Thu 0.60142
2451183 1999/01/04 Mon 0.60264
2451184 1999/01/05 Tue 0.60364
2451185 1999/01/06 Wed 0.60427
2451186 1999/01/07 Thu 0.60635
2451187 1999/01/08 Fri 0.60942
2451190 1999/01/11 Mon 0.61055
2451191 1999/01/12 Tue 0.61322
2451192 1999/01/13 Wed 0.60623
2451193 1999/01/14 Thu 0.60499
2451194 1999/01/15 Fri 0.60574
2451197 1999/01/18 Mon 0.60496
2451198 1999/01/19 Tue 0.60412
2451199 1999/01/20 Wed 0.60705
2451200 1999/01/21 Thu 0.60552
2451201 1999/01/22 Fri 0.60415
2451204 1999/01/25 Mon 0.60375
2451205 1999/01/26 Tue 0.60253
2451206 1999/01/27 Wed 0.60644
2451207 1999/01/28 Thu 0.60702
2451208 1999/01/29 Fri 0.60760
2451211 1999/02/01 Mon 0.60936
2451212 1999/02/02 Tue 0.60860
2451213 1999/02/03 Wed 0.61061
2451214 1999/02/04 Thu 0.61002
2451215 1999/02/05 Fri 0.61083
2451218 1999/02/08 Mon 0.61047
2451219 1999/02/09 Tue 0.61137
2451220 1999/02/10 Wed 0.61388
2451221 1999/02/11 Thu 0.61562
2451222 1999/02/12 Fri 0.61285
2451225 1999/02/15 Mon 0.61448
2451226 1999/02/16 Tue 0.61319
2451227 1999/02/17 Wed 0.61181
2451228 1999/02/18 Thu 0.61203
2451229 1999/02/19 Fri 0.61504
2451232 1999/02/22 Mon 0.61546
2451233 1999/02/23 Tue 0.61961
2451234 1999/02/24 Wed 0.62606
2451235 1999/02/25 Thu 0.62255
2451236 1999/02/26 Fri 0.62382
2451239 1999/03/01 Mon 0.62233
2451240 1999/03/02 Tue 0.61962
2451241 1999/03/03 Wed 0.61977
2451242 1999/03/04 Thu 0.62238
2451243 1999/03/05 Fri 0.62200
2451246 1999/03/08 Mon 0.62167
2451247 1999/03/09 Tue 0.61836
2451248 1999/03/10 Wed 0.61462
2451249 1999/03/11 Thu 0.61248
2451250 1999/03/12 Fri 0.61221
2451253 1999/03/15 Mon 0.61638
2451254 1999/03/16 Tue 0.61566
2451255 1999/03/17 Wed 0.61349
2451256 1999/03/18 Thu 0.61360
2451257 1999/03/19 Fri 0.61338
2451260 1999/03/22 Mon 0.61407
2451261 1999/03/23 Tue 0.61088
2451262 1999/03/24 Wed 0.60938
2451263 1999/03/25 Thu 0.61291
2451264 1999/03/26 Fri 0.61724
2451267 1999/03/29 Mon 0.61939
2451268 1999/03/30 Tue 0.62044
2451269 1999/03/31 Wed 0.61939
2451270 1999/04/01 Thu 0.62240
2451274 1999/04/05 Mon 0.62453
2451275 1999/04/06 Tue 0.62791
2451276 1999/04/07 Wed 0.62614
2451277 1999/04/08 Thu 0.62169
2451278 1999/04/09 Fri 0.62231
2451281 1999/04/12 Mon 0.61982
2451282 1999/04/13 Tue 0.61958
2451283 1999/04/14 Wed 0.61997
2451284 1999/04/15 Thu 0.62104
2451285 1999/04/16 Fri 0.62042
2451288 1999/04/19 Mon 0.62216
2451289 1999/04/20 Tue 0.61939
2451290 1999/04/21 Wed 0.62201
2451291 1999/04/22 Thu 0.62030
2451292 1999/04/23 Fri 0.61823
2451295 1999/04/26 Mon 0.62054
2451296 1999/04/27 Tue 0.61817
2451297 1999/04/28 Wed 0.61931
2451298 1999/04/29 Thu 0.62085
2451299 1999/04/30 Fri 0.62163
2451302 1999/05/03 Mon 0.62187
2451303 1999/05/04 Tue 0.61686
2451304 1999/05/05 Wed 0.61210
2451305 1999/05/06 Thu 0.60979
2451306 1999/05/07 Fri 0.61178
2451309 1999/05/10 Mon 0.61383
2451310 1999/05/11 Tue 0.61663
2451311 1999/05/12 Wed 0.61754
2451312 1999/05/13 Thu 0.61779
2451313 1999/05/14 Fri 0.61826
2451316 1999/05/17 Mon 0.61754
2451317 1999/05/18 Tue 0.61718
2451318 1999/05/19 Wed 0.61816
2451319 1999/05/20 Thu 0.62011
2451320 1999/05/21 Fri 0.62423
2451324 1999/05/25 Tue 0.62438
2451325 1999/05/26 Wed 0.62669
2451326 1999/05/27 Thu 0.62664
2451327 1999/05/28 Fri 0.62415
2451330 1999/05/31 Mon 0.62410
2451331 1999/06/01 Tue 0.62092
2451332 1999/06/02 Wed 0.62197
2451333 1999/06/03 Thu 0.62279
2451334 1999/06/04 Fri 0.62194
2451337 1999/06/07 Mon 0.62444
2451338 1999/06/08 Tue 0.62277
2451339 1999/06/09 Wed 0.62511
2451340 1999/06/10 Thu 0.62468
2451341 1999/06/11 Fri 0.62126
2451344 1999/06/14 Mon 0.62188
2451345 1999/06/15 Tue 0.62752
2451346 1999/06/16 Wed 0.62992
2451347 1999/06/17 Thu 0.62790
2451348 1999/06/18 Fri 0.62795
2451351 1999/06/21 Mon 0.62892
2451352 1999/06/22 Tue 0.62904
2451353 1999/06/23 Wed 0.63327
2451354 1999/06/24 Thu 0.63147
2451355 1999/06/25 Fri 0.62898
2451358 1999/06/28 Mon 0.63162
2451359 1999/06/29 Tue 0.63359
2451360 1999/06/30 Wed 0.63440
2451362 1999/07/02 Fri 0.63316
2451365 1999/07/05 Mon 0.63495
2451366 1999/07/06 Tue 0.63727
2451367 1999/07/07 Wed 0.64091
2451368 1999/07/08 Thu 0.64201
2451369 1999/07/09 Fri 0.64432
2451372 1999/07/12 Mon 0.64276
2451373 1999/07/13 Tue 0.64233
2451374 1999/07/14 Wed 0.63950
2451375 1999/07/15 Thu 0.63811
2451376 1999/07/16 Fri 0.63993
2451379 1999/07/19 Mon 0.63976
2451380 1999/07/20 Tue 0.63683
2451381 1999/07/21 Wed 0.63427
2451382 1999/07/22 Thu 0.63112
2451383 1999/07/23 Fri 0.63332
2451386 1999/07/26 Mon 0.62866
2451387 1999/07/27 Tue 0.62898
2451388 1999/07/28 Wed 0.62715
2451389 1999/07/29 Thu 0.61984
2451390 1999/07/30 Fri 0.61731
2451394 1999/08/03 Tue 0.61820
2451395 1999/08/04 Wed 0.61726
2451396 1999/08/05 Thu 0.61751
2451397 1999/08/06 Fri 0.61920
2451400 1999/08/09 Mon 0.62279
2451401 1999/08/10 Tue 0.61807
2451402 1999/08/11 Wed 0.62084
2451403 1999/08/12 Thu 0.62155
2451404 1999/08/13 Fri 0.62292
2451407 1999/08/16 Mon 0.62434
2451408 1999/08/17 Tue 0.62382
2451409 1999/08/18 Wed 0.62458
2451410 1999/08/19 Thu 0.61779
2451411 1999/08/20 Fri 0.61950
2451414 1999/08/23 Mon 0.62209
2451415 1999/08/24 Tue 0.62715
2451416 1999/08/25 Wed 0.63049
2451417 1999/08/26 Thu 0.62981
2451418 1999/08/27 Fri 0.62940
2451421 1999/08/30 Mon 0.62967
2451422 1999/08/31 Tue 0.62159
2451423 1999/09/01 Wed 0.62396
2451424 1999/09/02 Thu 0.62170
2451425 1999/09/03 Fri 0.62348
2451429 1999/09/07 Tue 0.62285
2451430 1999/09/08 Wed 0.61774
2451431 1999/09/09 Thu 0.61240
2451432 1999/09/10 Fri 0.61862
2451435 1999/09/13 Mon 0.62122
2451436 1999/09/14 Tue 0.62184
2451437 1999/09/15 Wed 0.62046
2451438 1999/09/16 Thu 0.61536
2451439 1999/09/17 Fri 0.61632
2451442 1999/09/20 Mon 0.61610
2451443 1999/09/21 Tue 0.61316
2451444 1999/09/22 Wed 0.61068
2451445 1999/09/23 Thu 0.61069
2451446 1999/09/24 Fri 0.60875
2451449 1999/09/27 Mon 0.60765
2451450 1999/09/28 Tue 0.60621
2451451 1999/09/29 Wed 0.60876
2451452 1999/09/30 Thu 0.60741
2451453 1999/10/01 Fri 0.60427
2451456 1999/10/04 Mon 0.60391
2451457 1999/10/05 Tue 0.60506
2451458 1999/10/06 Wed 0.60394
2451459 1999/10/07 Thu 0.60522
2451460 1999/10/08 Fri 0.60537
2451464 1999/10/12 Tue 0.60463
2451465 1999/10/13 Wed 0.60484
